geoName,turkcell
Erzurum,100
Mardin,76
Diyarbakır,75
Gaziantep,72
Malatya,72
Trabzon,68
Rize,64
Giresun,64
Adana,62
Mersin,61
Kahramanmaraş,60
Şanlıurfa,60
Manisa,60
Ordu,59
Kocaeli,59
Ardahan,59
Tunceli,59
İzmir,58
Artvin,58
Hatay,58
Kayseri,57
Hakkâri,57
Şırnak,57
Yozgat,56
Ankara,56
İstanbul,56
Kars,55
Samsun,55
Muğla,54
Aydın,53
Gümüşhane,53
Çorum,53
Van,52
Sakarya,52
Antalya,52
Batman,52
Bayburt,51
Çankırı,51
Eskişehir,51
Iğdır,51
Bursa,51
Adıyaman,50
Bingöl,50
Yalova,50
Muş,50
Sivas,50
Tekirdağ,50
Bartın,49
Edirne,49
Düzce,49
Zonguldak,49
Elâzığ,48
Bitlis,47
Balıkesir,47
Tokat,47
Erzincan,47
Karabük,47
Denizli,47
Aksaray,46
Niğde,46
Bolu,46
Sinop,45
Isparta,45
Osmaniye,44
Kütahya,44
Amasya,44
Uşak,44
Konya,44
Kilis,44
Çanakkale,44
Afyonkarahisar,43
Siirt,42
Kırıkkale,42
Kastamonu,41
Bilecik,40
Karaman,40
Burdur,40
Ağrı,39
Nevşehir,38
Kırklareli,38
Kırşehir,37
